palavra,tipo
calor,sentimento_negativo
frio,sentimento_negativo
piora,sentimento_negativo
chora,sentimento_negativo
pior,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
calor,sentimento_negativo
calor,sentimento_negativo
morrer,sentimento_negativo
morreu,sentimento_negativo
falta,sentimento_negativo
frio,sentimento_negativo
calor,sentimento_negativo
mal,sentimento_negativo
frio,sentimento_negativo
mal,sentimento_negativo
morrendo,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
morrendo,sentimento_negativo
frio,sentimento_negativo
fria,sentimento_negativo
chora,sentimento_negativo
frio,sentimento_negativo
mal,sentimento_negativo
frio,sentimento_negativo
morrendo,sentimento_negativo
frio,sentimento_negativo
morrer,sentimento_negativo
morreu,sentimento_negativo
frio,sentimento_negativo
longo,sentimento_negativo
falta,sentimento_negativo
calor,sentimento_negativo
desconfortavel,sentimento_negativo
desconfortável,sentimento_negativo
chora,sentimento_negativo
frio,sentimento_negativo
horrorosa,sentimento_negativo
agoniado,sentimento_negativo
morrendo,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
lotada,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
calor,sentimento_negativo
descaso,sentimento_negativo
chora,sentimento_negativo
calor,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
dor,sentimento_negativo
frio,sentimento_negativo
inaugurada,sentimento_positivo
otimiza,sentimento_positivo
espera,sentimento_negativo
esperar,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
chora,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
calor,sentimento_negativo
frio,sentimento_negativo
morrendo,sentimento_negativo
esperando,sentimento_negativo
frio,sentimento_negativo
morrendo,sentimento_negativo
quebrado,sentimento_negativo
calor,sentimento_negativo
frio,sentimento_negativo
fria,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
morrendo,sentimento_negativo
frio,sentimento_negativo
calor,sentimento_negativo
lotada,sentimento_negativo
dor,sentimento_negativo
frio,sentimento_negativo
morrendo,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
esperando,sentimento_negativo
calor,sentimento_negativo
chorou,sentimento_negativo
frio,sentimento_negativo
quente,sentimento_negativo
frio,sentimento_negativo
piora,sentimento_negativo
mal,sentimento_negativo
frio,sentimento_negativo
pior,sentimento_negativo
frio,sentimento_negativo
morrer,sentimento_negativo
morreu,sentimento_negativo
esperando,sentimento_negativo
calor,sentimento_negativo
frio,sentimento_negativo
demorou,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
calor,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
calor,sentimento_negativo
frio,sentimento_negativo
dor,sentimento_negativo
chorando,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
morrer,sentimento_negativo
morreu,sentimento_negativo
falta,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
falta,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
morrer,sentimento_negativo
morreu,sentimento_negativo
frio,sentimento_negativo
calor,sentimento_negativo
desumano,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
inaugurada,sentimento_positivo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
mal,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
falta,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
falta,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
calor,sentimento_negativo
fria,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
calor,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
falta,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
falta,sentimento_negativo
frio,sentimento_negativo
mal,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
frio,sentimento_negativo
lento,sentimento_negativo
calor,sentimento_negativo
fria,sentimento_negativo
frio,sentimento_negativo
